ClassName,LOC,WMC,CBO,RFC,LCOM,DIT,NOC
com.ias.dpat.App,15,1,3,3,0,1,0
com.ias.dpat.flexible.factory.AbstractPaymentFactory,3,1,2,0,0,1,1
com.ias.dpat.flexible.factory.PaymentFactory,18,3,3,3,0,2,0
com.ias.dpat.flexible.FlexibleOrder,36,6,4,7,1,1,0
com.ias.dpat.flexible.payment.ApplePayPayment,12,2,1,1,1,1,0
com.ias.dpat.flexible.payment.BankTransferPayment,12,2,1,1,1,1,0
com.ias.dpat.flexible.payment.CreditCardPayment,13,2,1,1,1,1,0
com.ias.dpat.flexible.payment.CryptocurrencyPayment,12,2,1,1,1,1,0
com.ias.dpat.flexible.payment.GooglePayPayment,12,2,1,1,1,1,0
com.ias.dpat.flexible.payment.PayPalPayment,12,2,1,1,1,1,0
com.ias.dpat.flexible.strategy.PaymentProcessor,23,7,3,4,0,1,0
com.ias.dpat.flexible.strategy.PaymentStrategy,4,2,0,0,1,1,0
com.ias.dpat.flexible.types.PaymentType,1,0,0,0,0,1,0
com.ias.dpat.MetricsAnalyzer,50,5,4,16,0,1,0
com.ias.dpat.MetricsAnalyzer$Anonymous1,9,2,1,5,1,1,0
com.ias.dpat.MetricsComparator$ClassMetrics,36,16,1,4,1,1,0
com.ias.dpat.MetricsComparator,134,24,2,31,10,1,0
com.ias.dpat.simple.PaymentProcessor,40,7,1,5,6,1,0
com.ias.dpat.simple.SimpleOrder,22,3,1,2,0,1,0
com.ias.dpat.systems.FlexiblePaymentSystem,23,2,6,5,0,1,0
com.ias.dpat.systems.NaivePaymentSystem,12,1,2,1,0,1,0
com.ias.dpat.systems.PaymentSystem,3,1,0,0,0,1,0
